nameseq,maximum_ORF_length,minimum_ORF_length,std_ORF_length,average_ORF_length,cv_ORF_length,maximum_GC_content_ORF,minimum_GC_content_ORF,std_GC_content_ORF,average_GC_content_ORF,cv_GC_content_ORF,label
non-promoter-280,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-281,27,18,4.5,22.5,0.2,40.74074074074074,33.33333333333333,3.703703703703706,37.03703703703704,0.10000000000000006,promotor
non-promoter-282,12,12,0.0,12.0,0.0,41.66666666666667,41.66666666666667,0.0,41.66666666666667,0.0,promotor
non-promoter-283,27,27,0.0,27.0,0.0,44.44444444444444,44.44444444444444,0.0,44.44444444444444,0.0,promotor
non-promoter-284,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-285,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-286,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-287,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-288,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-289,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-290,36,36,0.0,36.0,0.0,52.77777777777778,52.77777777777778,0.0,52.77777777777778,0.0,promotor
non-promoter-291,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-292,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-293,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-294,9,9,0.0,9.0,0.0,11.11111111111111,11.11111111111111,0.0,11.11111111111111,0.0,promotor
non-promoter-295,21,21,0.0,21.0,0.0,42.857142857142854,42.857142857142854,0.0,42.857142857142854,0.0,promotor
non-promoter-296,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-297,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-298,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-299,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-300,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-301,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-302,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-303,15,15,0.0,15.0,0.0,53.333333333333336,53.333333333333336,0.0,53.333333333333336,0.0,promotor
non-promoter-304,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-305,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-306,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-307,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-308,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-309,21,21,0.0,21.0,0.0,52.38095238095239,52.38095238095239,0.0,52.38095238095239,0.0,promotor
non-promoter-310,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-311,36,36,0.0,36.0,0.0,44.44444444444444,44.44444444444444,0.0,44.44444444444444,0.0,promotor
non-promoter-312,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-313,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-314,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-315,9,9,0.0,9.0,0.0,22.22222222222222,22.22222222222222,0.0,22.22222222222222,0.0,promotor
non-promoter-316,15,15,0.0,15.0,0.0,60.0,60.0,0.0,60.0,0.0,promotor
non-promoter-317,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-318,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-319,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-320,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-321,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-322,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-323,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-324,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-325,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-326,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-327,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-328,51,51,0.0,51.0,0.0,52.94117647058824,52.94117647058824,0.0,52.94117647058824,0.0,promotor
non-promoter-329,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-330,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-331,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-332,12,12,0.0,12.0,0.0,41.66666666666667,41.66666666666667,0.0,41.66666666666667,0.0,promotor
non-promoter-333,24,24,0.0,24.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,promotor
non-promoter-334,69,69,0.0,69.0,0.0,49.275362318840585,49.275362318840585,0.0,49.275362318840585,0.0,promotor
non-promoter-335,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-336,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-337,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-338,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-339,18,18,0.0,18.0,0.0,72.22222222222221,72.22222222222221,0.0,72.22222222222221,0.0,promotor
non-promoter-340,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-341,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-342,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-343,24,24,0.0,24.0,0.0,37.5,37.5,0.0,37.5,0.0,promotor
non-promoter-344,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-345,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-346,18,18,0.0,18.0,0.0,22.22222222222222,22.22222222222222,0.0,22.22222222222222,0.0,promotor
non-promoter-347,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-348,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-349,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-350,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-351,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-352,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-353,9,9,0.0,9.0,0.0,55.55555555555556,55.55555555555556,0.0,55.55555555555556,0.0,promotor
non-promoter-354,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-355,0,0,0,0,0,0,0,0,0,0,promotor
