nameseq,fickett_score-ORF,fickett_score-full-sequence,label
non-promoter-122,0.9955,0.45955,promotor
non-promoter-123,1.0879,0.43265,promotor
non-promoter-124,1.0658,0.41811000000000004,promotor
non-promoter-125,1.0908,0.45613,promotor
non-promoter-126,1.0403,0.37740999999999997,promotor
non-promoter-127,1.1953,0.42009,promotor
non-promoter-128,1.1040999999999999,0.45869,promotor
non-promoter-129,1.1302,0.40486,promotor
non-promoter-130,1.1638000000000002,0.41753,promotor
non-promoter-131,1.0077,0.44912,promotor
non-promoter-132,0.9273000000000001,0.34487,promotor
non-promoter-133,0.9922,0.41874,promotor
non-promoter-134,0.9372000000000001,0.36690000000000006,promotor
non-promoter-135,1.0445,0.42495,promotor
non-promoter-136,0.9965999999999999,0.38531,promotor
non-promoter-137,1.1374000000000002,0.42575999999999997,promotor
non-promoter-138,1.31,0.41887,promotor
non-promoter-139,0.9621,0.4454,promotor
non-promoter-140,0.9709000000000001,0.45182999999999995,promotor
non-promoter-141,0.7891999999999999,0.31716,promotor
non-promoter-142,1.2975,0.42562,promotor
non-promoter-143,1.2419,0.38881000000000004,promotor
non-promoter-144,1.3057,0.43424,promotor
non-promoter-145,0.9621,0.4454,promotor
non-promoter-146,0.9709000000000001,0.45182999999999995,promotor
non-promoter-147,0.8897,0.47198000000000007,promotor
non-promoter-148,1.018,0.40631,promotor
non-promoter-149,1.187,0.45005,promotor
non-promoter-150,1.1424,0.44542,promotor
non-promoter-151,1.1098999999999999,0.44422,promotor
non-promoter-152,0.8858000000000001,0.40396,promotor
non-promoter-153,1.1532,0.41797,promotor
non-promoter-154,1.0556,0.40280000000000005,promotor
non-promoter-155,1.0743,0.41644999999999993,promotor
non-promoter-156,0.8669,0.4624,promotor
non-promoter-157,0.6553,0.43443,promotor
non-promoter-158,1.0972,0.47315000000000007,promotor
non-promoter-159,1.1937000000000002,0.42307,promotor
non-promoter-160,1.0314,0.41446,promotor
non-promoter-161,1.0131000000000001,0.37459,promotor
non-promoter-162,1.0077,0.44105,promotor
non-promoter-163,0.8456,0.40096999999999994,promotor
non-promoter-164,0.6519000000000001,0.36762999999999996,promotor
non-promoter-165,1.095,0.46356,promotor
non-promoter-166,1.1097000000000001,0.43172,promotor
non-promoter-167,1.2602,0.4192,promotor
non-promoter-168,1.0568,0.43279999999999996,promotor
non-promoter-169,1.1178000000000001,0.43975000000000003,promotor
non-promoter-170,0.8273,0.37489000000000006,promotor
non-promoter-171,1.3132000000000001,0.4376,promotor
non-promoter-172,1.2337,0.44705,promotor
non-promoter-173,1.1398,0.45115,promotor
non-promoter-174,0.8744000000000001,0.42288000000000003,promotor
non-promoter-175,0.8331999999999999,0.45677,promotor
non-promoter-176,0.9215,0.39948999999999996,promotor
non-promoter-177,0.8609,0.39794999999999997,promotor
non-promoter-178,0.9566,0.40227,promotor
non-promoter-179,1.073,0.44567999999999997,promotor
non-promoter-180,1.1338,0.43061,promotor
non-promoter-181,1.0021,0.33402000000000004,promotor
non-promoter-182,0.8048000000000001,0.29241,promotor
non-promoter-183,1.1508,0.40844,promotor
non-promoter-184,1.2516,0.41239,promotor
non-promoter-185,1.0137,0.43653,promotor
non-promoter-186,1.208,0.43838,promotor
non-promoter-187,0.8601000000000001,0.40904999999999997,promotor
non-promoter-188,1.162,0.40607,promotor
non-promoter-189,1.0524,0.43751999999999996,promotor
non-promoter-190,0.7558,0.38439999999999996,promotor
non-promoter-191,1.0048,0.39598,promotor
non-promoter-192,1.0605,0.45802999999999994,promotor
non-promoter-193,0.8706,0.43856,promotor
non-promoter-194,0.9394000000000001,0.48516,promotor
non-promoter-195,1.1500000000000001,0.44037,promotor
non-promoter-196,1.2231,0.4409,promotor
non-promoter-197,0.8837000000000002,0.34151000000000004,promotor
non-promoter-198,0.8621000000000001,0.36967,promotor
non-promoter-199,1.2303,0.39873,promotor
non-promoter-200,1.0131000000000001,0.37459,promotor
non-promoter-201,1.0314,0.41446,promotor
non-promoter-202,1.3333000000000002,0.41891,promotor
non-promoter-203,0.7518999999999999,0.34099,promotor
non-promoter-204,0.7573000000000001,0.41633,promotor
non-promoter-205,1.1093,0.44871,promotor
non-promoter-206,1.1085,0.44794,promotor
non-promoter-207,0.7146,0.44853000000000004,promotor
non-promoter-208,0.9854,0.36402,promotor
non-promoter-209,0.6487,0.42145,promotor
non-promoter-210,0.43139999999999995,0.3242,promotor
non-promoter-211,1.1181,0.45251,promotor
non-promoter-212,1.1645,0.43307,promotor
non-promoter-213,0.9603999999999999,0.39128,promotor
non-promoter-214,1.1816,0.42996,promotor
non-promoter-215,1.0334,0.41956000000000004,promotor
non-promoter-216,1.1566,0.44142,promotor
non-promoter-217,0.7791,0.38463,promotor
non-promoter-218,1.2605000000000002,0.40057000000000004,promotor
non-promoter-219,1.1878,0.38811,promotor
non-promoter-220,1.1126,0.45444,promotor
non-promoter-221,1.0429000000000002,0.37733,promotor
non-promoter-222,1.2513,0.43968,promotor
non-promoter-223,0.7385000000000002,0.42930999999999997,promotor
non-promoter-224,1.3150000000000002,0.41872,promotor
non-promoter-225,0.9467000000000001,0.35752999999999996,promotor
non-promoter-226,1.1591,0.45798,promotor
non-promoter-227,1.2804,0.40241,promotor
non-promoter-228,0.9913000000000001,0.32156999999999997,promotor
non-promoter-229,0.7142,0.35075000000000006,promotor
non-promoter-230,1.1948,0.42997,promotor
non-promoter-231,1.3006000000000002,0.41719,promotor
non-promoter-232,0.7816,0.37947000000000003,promotor
non-promoter-233,0.9897,0.42306,promotor
non-promoter-234,1.1188,0.42275999999999997,promotor
non-promoter-235,0.9565,0.37358,promotor
non-promoter-236,0.6158999999999999,0.41439000000000004,promotor
non-promoter-237,0.9638,0.39233,promotor
non-promoter-238,1.3014000000000001,0.36336999999999997,promotor
non-promoter-239,0.9058,0.47353999999999996,promotor
non-promoter-240,1.1068,0.42366000000000004,promotor
non-promoter-241,0.7897000000000001,0.43386,promotor
non-promoter-242,1.1238000000000001,0.47156,promotor
non-promoter-243,0.9197,0.42367,promotor
non-promoter-244,0.8229999999999998,0.44721,promotor
non-promoter-245,1.2065000000000001,0.44652,promotor
non-promoter-246,1.0697,0.45088,promotor
non-promoter-247,0.8006,0.35761,promotor
non-promoter-248,1.2781000000000002,0.43858,promotor
non-promoter-249,1.286,0.43741,promotor
non-promoter-250,1.0071,0.43527,promotor
non-promoter-251,1.0453000000000001,0.42637,promotor
non-promoter-252,0.8814,0.43467,promotor
non-promoter-253,0.5409999999999999,0.39173,promotor
non-promoter-254,1.1358,0.43754,promotor
non-promoter-255,1.1739,0.44638,promotor
non-promoter-256,1.0499,0.44282,promotor
non-promoter-257,1.2498,0.46312,promotor
non-promoter-258,1.1687,0.45186,promotor
non-promoter-259,1.1245,0.45349,promotor
non-promoter-260,1.1444,0.45541,promotor
non-promoter-261,1.233,0.38877,promotor
non-promoter-262,0.9470999999999999,0.41524,promotor
non-promoter-263,0.9242000000000001,0.40431,promotor
non-promoter-264,0.45399999999999996,0.31415,promotor
non-promoter-265,0.9684,0.41004,promotor
non-promoter-266,0.7646000000000001,0.46004,promotor
non-promoter-267,1.2838,0.38597,promotor
non-promoter-268,1.1558,0.3767,promotor
non-promoter-269,0.9398,0.37069,promotor
non-promoter-270,0.9631000000000001,0.42818,promotor
non-promoter-271,1.0308000000000002,0.40174,promotor
non-promoter-272,0.8135,0.40627,promotor
non-promoter-273,0.9227000000000001,0.41245000000000004,promotor
non-promoter-274,1.1687,0.4399,promotor
non-promoter-275,0.7141000000000001,0.33344,promotor
non-promoter-276,1.266,0.40717,promotor
non-promoter-277,0.5785,0.31501,promotor
non-promoter-278,1.2284,0.44895,promotor
non-promoter-279,1.0639,0.43435,promotor
non-promoter-280,0.9734,0.40531999999999996,promotor
non-promoter-281,0.5808,0.39543,promotor
non-promoter-282,0.9521,0.45296,promotor
non-promoter-283,0.8429,0.41281,promotor
non-promoter-284,1.0868000000000002,0.42374,promotor
non-promoter-285,0.9563,0.35559999999999997,promotor
non-promoter-286,1.1894,0.41694000000000003,promotor
non-promoter-287,1.0438,0.417,promotor
non-promoter-288,1.2476,0.39082,promotor
non-promoter-289,0.7897,0.44426,promotor
non-promoter-290,0.8367,0.39634,promotor
non-promoter-291,1.0314,0.41446,promotor
non-promoter-292,1.0131000000000001,0.37459,promotor
non-promoter-293,0.7197,0.33746,promotor
non-promoter-294,0.9236000000000001,0.44365999999999994,promotor
non-promoter-295,0.9628000000000001,0.42385999999999996,promotor
non-promoter-296,0.8037,0.3387,promotor
non-promoter-297,1.0662,0.44431,promotor
non-promoter-298,0.9372000000000001,0.36690000000000006,promotor
non-promoter-299,1.3018,0.42403,promotor
non-promoter-300,1.0390000000000001,0.47081,promotor
non-promoter-301,0.8512000000000001,0.37889,promotor
non-promoter-302,0.9797,0.40104999999999996,promotor
non-promoter-303,0.8607999999999999,0.41033,promotor
non-promoter-304,1.0177,0.44374,promotor
non-promoter-305,0.9673,0.43725,promotor
non-promoter-306,1.169,0.44169,promotor
non-promoter-307,0.8297000000000001,0.42113,promotor
non-promoter-308,0.7250000000000001,0.36798,promotor
non-promoter-309,1.1555,0.40337999999999996,promotor
non-promoter-310,0.9992,0.42695000000000005,promotor
non-promoter-311,1.0746,0.43498,promotor
non-promoter-312,0.8368,0.33402,promotor
non-promoter-313,1.2205000000000001,0.41344,promotor
non-promoter-314,1.1312,0.40624,promotor
non-promoter-315,1.1195000000000002,0.44873999999999997,promotor
non-promoter-316,1.0774,0.45154,promotor
non-promoter-317,0.9916,0.46233,promotor
non-promoter-318,1.2352,0.36837000000000003,promotor
non-promoter-319,1.0889000000000002,0.4625,promotor
non-promoter-320,0.8391000000000002,0.42408999999999997,promotor
non-promoter-321,0.7866999999999998,0.45224,promotor
non-promoter-322,1.1087,0.42353,promotor
non-promoter-323,1.1497,0.46174999999999994,promotor
non-promoter-324,0.6649999999999999,0.36341,promotor
non-promoter-325,0.9570000000000001,0.43472999999999995,promotor
non-promoter-326,1.1718000000000002,0.39159,promotor
non-promoter-327,1.0282000000000002,0.35429,promotor
non-promoter-328,1.098,0.44247000000000003,promotor
non-promoter-329,1.1824000000000001,0.40484,promotor
non-promoter-330,1.3066,0.43487000000000003,promotor
non-promoter-331,1.1383,0.42118999999999995,promotor
non-promoter-332,0.9473,0.42725,promotor
non-promoter-333,1.2009,0.40721999999999997,promotor
non-promoter-334,0.9826999999999999,0.42101000000000005,promotor
non-promoter-335,1.0834,0.41969,promotor
non-promoter-336,0.8634000000000001,0.44072,promotor
non-promoter-337,1.2542000000000002,0.4088,promotor
non-promoter-338,1.2545000000000002,0.39797,promotor
non-promoter-339,1.1700000000000002,0.41484000000000004,promotor
non-promoter-340,1.2117,0.42878,promotor
non-promoter-341,1.2383,0.41152,promotor
non-promoter-342,0.9828,0.43289,promotor
non-promoter-343,0.8422000000000001,0.4354,promotor
non-promoter-344,1.1487,0.43606,promotor
non-promoter-345,1.0043,0.3847399999999999,promotor
non-promoter-346,0.7349,0.41612999999999994,promotor
non-promoter-347,0.6768000000000001,0.35072,promotor
non-promoter-348,0.7459,0.42699,promotor
non-promoter-349,1.2768000000000002,0.38211999999999996,promotor
non-promoter-350,0.7380000000000001,0.26788,promotor
non-promoter-351,0.9372000000000001,0.36690000000000006,promotor
non-promoter-352,0.9319000000000001,0.43141000000000007,promotor
non-promoter-353,1.1151,0.44361999999999996,promotor
non-promoter-354,1.194,0.41487999999999997,promotor
non-promoter-355,1.1711,0.42385999999999996,promotor
non-promoter-356,0.9935,0.36061000000000004,promotor
non-promoter-357,1.0673000000000001,0.38867,promotor
non-promoter-358,1.0288,0.43071,promotor
non-promoter-359,1.2192,0.41939,promotor
non-promoter-360,1.0838,0.44404000000000005,promotor
non-promoter-361,0.9633,0.44596,promotor
non-promoter-362,1.0611,0.46456,promotor
non-promoter-363,0.7484000000000001,0.42926,promotor
non-promoter-364,1.115,0.41145000000000004,promotor
non-promoter-365,1.3410000000000002,0.41463,promotor
non-promoter-366,1.0478,0.47281,promotor
non-promoter-367,0.925,0.41452,promotor
non-promoter-368,1.0543,0.45561999999999997,promotor
non-promoter-369,0.8620000000000001,0.41849,promotor
non-promoter-370,1.208,0.40503,promotor
non-promoter-371,0.6486000000000001,0.32362,promotor
non-promoter-372,1.0818,0.40861,promotor
non-promoter-373,0.7971,0.4517,promotor
non-promoter-374,0.722,0.43512000000000006,promotor
non-promoter-375,0.8689000000000001,0.36267,promotor
non-promoter-376,0.6349,0.30218999999999996,promotor
non-promoter-377,1.1718,0.43281,promotor
non-promoter-378,1.1304,0.3881,promotor
non-promoter-379,1.2764000000000002,0.39712,promotor
non-promoter-380,1.2359,0.46695000000000003,promotor
non-promoter-381,1.2267000000000001,0.4084,promotor
non-promoter-382,0.8027999999999998,0.39985000000000004,promotor
non-promoter-383,0.9503,0.43776000000000004,promotor
non-promoter-384,1.1236,0.41742,promotor
non-promoter-385,1.2375,0.41358,promotor
non-promoter-386,0.9924999999999999,0.48543000000000003,promotor
non-promoter-387,1.1287,0.43663,promotor
non-promoter-388,1.2233,0.42617,promotor
non-promoter-389,1.1578000000000002,0.38197,promotor
non-promoter-390,1.2808000000000002,0.43196,promotor
non-promoter-391,1.1978,0.42426,promotor
non-promoter-392,1.0498,0.4036,promotor
non-promoter-393,1.2428000000000001,0.42673000000000005,promotor
non-promoter-394,0.9699000000000001,0.43529,promotor
non-promoter-395,0.8069000000000001,0.39902000000000004,promotor
non-promoter-396,0.8792,0.41693,promotor
non-promoter-397,1.1222,0.40120999999999996,promotor
non-promoter-398,1.073,0.45003,promotor
non-promoter-399,0.8204,0.3736,promotor
non-promoter-400,1.1112,0.44047000000000003,promotor
non-promoter-401,1.1242,0.4097,promotor
non-promoter-402,0.9234000000000001,0.38849000000000006,promotor
non-promoter-403,0.9194,0.4879,promotor
non-promoter-404,1.0173,0.34327,promotor
non-promoter-405,1.1379000000000001,0.42018000000000005,promotor
non-promoter-406,0.6152999999999998,0.35122,promotor
non-promoter-407,0.8876999999999999,0.36208999999999997,promotor
non-promoter-408,1.2174,0.4848100000000001,promotor
non-promoter-409,1.0028000000000001,0.43781,promotor
non-promoter-410,0.6359999999999999,0.39458000000000004,promotor
non-promoter-411,1.2151,0.42990999999999996,promotor
non-promoter-412,1.1378,0.44226,promotor
non-promoter-413,0.8573999999999999,0.36272,promotor
non-promoter-414,0.9012,0.42611,promotor
non-promoter-415,1.3001,0.46345,promotor
non-promoter-416,1.1313,0.43288000000000004,promotor
non-promoter-417,0.7236,0.29981,promotor
non-promoter-418,1.2298,0.44944,promotor
non-promoter-419,1.1231,0.42622,promotor
non-promoter-420,1.1880000000000002,0.39851000000000003,promotor
non-promoter-421,1.0715000000000001,0.44771,promotor
non-promoter-422,1.0069000000000001,0.41322,promotor
non-promoter-423,1.0208,0.40756,promotor
non-promoter-424,1.0372000000000001,0.46945,promotor
non-promoter-425,1.1434,0.43705999999999995,promotor
non-promoter-426,0.9352999999999999,0.40766,promotor
non-promoter-427,1.3326000000000002,0.42249,promotor
non-promoter-428,1.0374,0.42474999999999996,promotor
non-promoter-429,1.1614,0.42628,promotor
non-promoter-430,0.8821000000000001,0.32536,promotor
non-promoter-431,0.9490000000000001,0.36642,promotor
non-promoter-432,1.1928,0.42421,promotor
non-promoter-433,1.2931000000000001,0.46933,promotor
non-promoter-434,0.9131999999999999,0.37819,promotor
non-promoter-435,1.2226000000000001,0.41970999999999997,promotor
non-promoter-436,0.5891,0.37132,promotor
non-promoter-437,0.8725,0.43881000000000003,promotor
non-promoter-438,0.9583,0.48499000000000003,promotor
non-promoter-439,1.2135,0.45022,promotor
non-promoter-440,1.0232,0.4512900000000001,promotor
non-promoter-441,1.2469000000000001,0.45295,promotor
non-promoter-442,1.2838,0.43636,promotor
non-promoter-443,1.1197,0.43539,promotor
non-promoter-444,1.0466,0.4104,promotor
non-promoter-445,0.6005999999999999,0.4449,promotor
non-promoter-446,0.914,0.43676,promotor
non-promoter-447,1.0681,0.42023,promotor
non-promoter-448,0.9416,0.33483999999999997,promotor
non-promoter-449,0.9333,0.39964000000000005,promotor
non-promoter-450,1.1535,0.41492,promotor
non-promoter-451,1.0633,0.42991,promotor
non-promoter-452,1.1147,0.45095,promotor
non-promoter-453,0.9128999999999999,0.42456,promotor
non-promoter-454,1.0023,0.42449999999999993,promotor
non-promoter-455,0.8433999999999999,0.39568,promotor
non-promoter-456,1.1327,0.41875999999999997,promotor
non-promoter-457,1.043,0.43975000000000003,promotor
non-promoter-458,1.0176,0.31786,promotor
non-promoter-459,1.2978,0.41226999999999997,promotor
non-promoter-460,1.1309,0.40541999999999995,promotor
non-promoter-461,0.8564999999999999,0.41097000000000006,promotor
non-promoter-462,0.7104999999999999,0.40253999999999995,promotor
non-promoter-463,0.9899000000000002,0.36594,promotor
non-promoter-464,1.2137,0.43418999999999996,promotor
non-promoter-465,1.2439,0.44290999999999997,promotor
non-promoter-466,1.01,0.46446,promotor
non-promoter-467,0.8618000000000001,0.34573,promotor
non-promoter-468,0.9327000000000002,0.33024,promotor
non-promoter-469,1.0353,0.44423999999999997,promotor
non-promoter-470,1.0274,0.44167999999999996,promotor
non-promoter-471,1.0592000000000001,0.33214,promotor
non-promoter-472,1.0567000000000002,0.40142999999999995,promotor
non-promoter-473,1.0596,0.40756000000000003,promotor
non-promoter-474,0.9044,0.41102000000000005,promotor
non-promoter-475,1.2634,0.40540000000000004,promotor
non-promoter-476,1.0659,0.42099,promotor
non-promoter-477,0.6725,0.40565000000000007,promotor
non-promoter-478,0.9323,0.36411000000000004,promotor
non-promoter-479,0.8619,0.42754000000000003,promotor
non-promoter-480,0.7363999999999999,0.39773,promotor
non-promoter-481,1.041,0.42118,promotor
non-promoter-482,1.2867000000000002,0.42597999999999997,promotor
non-promoter-483,0.982,0.36423000000000005,promotor
non-promoter-484,1.2946000000000002,0.41758999999999996,promotor
non-promoter-485,1.0335,0.42766999999999994,promotor
non-promoter-486,1.1903000000000001,0.39719,promotor
non-promoter-487,1.1272,0.42439,promotor
non-promoter-488,1.268,0.43926,promotor
non-promoter-489,1.1928,0.44016,promotor
non-promoter-490,0.8352,0.39093999999999995,promotor
non-promoter-491,1.3345,0.42574,promotor
non-promoter-492,1.0384,0.38012,promotor
non-promoter-493,0.9601000000000001,0.37711,promotor
non-promoter-494,0.9764000000000002,0.38292,promotor
non-promoter-495,1.2194,0.42168,promotor
non-promoter-496,1.0866,0.43076,promotor
non-promoter-497,0.733,0.36753,promotor
non-promoter-498,1.2039,0.43361,promotor
non-promoter-499,1.185,0.41961,promotor
non-promoter-500,1.2258,0.43728999999999996,promotor
non-promoter-501,0.5921000000000001,0.34183,promotor
non-promoter-502,1.2658,0.43354,promotor
non-promoter-503,1.1636,0.44371,promotor
non-promoter-504,0.8476,0.4422,promotor
non-promoter-505,1.3114000000000001,0.42065,promotor
non-promoter-506,1.1411,0.40755,promotor
non-promoter-507,0.9470000000000001,0.38549000000000005,promotor
non-promoter-508,0.822,0.37754999999999994,promotor
non-promoter-509,0.6447,0.29181,promotor
non-promoter-510,1.2104000000000001,0.41570999999999997,promotor
non-promoter-511,0.9586,0.359,promotor
non-promoter-512,0.5498999999999999,0.37756999999999996,promotor
non-promoter-513,1.1034,0.4223700000000001,promotor
non-promoter-514,1.2440000000000002,0.37056,promotor
non-promoter-515,0.5968,0.39503,promotor
non-promoter-516,0.8625,0.43328,promotor
non-promoter-517,1.0785,0.45217999999999997,promotor
non-promoter-518,0.9621,0.4454,promotor
non-promoter-519,1.1386,0.42901,promotor
non-promoter-520,1.0951000000000002,0.4572,promotor
non-promoter-521,0.6714999999999999,0.38771999999999995,promotor
non-promoter-522,1.1471,0.42543000000000003,promotor
non-promoter-523,1.2606000000000002,0.39733,promotor
non-promoter-524,1.0651,0.44894999999999996,promotor
non-promoter-525,1.0872,0.45455,promotor
non-promoter-526,0.662,0.37556,promotor
non-promoter-527,1.0642,0.39958,promotor
non-promoter-528,1.0862,0.46770999999999996,promotor
non-promoter-529,0.8845000000000001,0.34324,promotor
non-promoter-530,1.187,0.41616,promotor
non-promoter-531,1.2751,0.44314000000000003,promotor
non-promoter-532,1.1112,0.44039,promotor
non-promoter-533,1.0025,0.42151,promotor
non-promoter-534,1.1297,0.42014999999999997,promotor
non-promoter-535,0.912,0.40318,promotor
non-promoter-536,1.0131000000000001,0.37459,promotor
non-promoter-537,1.0314,0.41446,promotor
non-promoter-538,0.9072000000000001,0.33050999999999997,promotor
non-promoter-539,1.0524,0.41817,promotor
non-promoter-540,0.9519,0.47196000000000005,promotor
non-promoter-541,0.969,0.48448,promotor
non-promoter-542,0.7481,0.37456999999999996,promotor
non-promoter-543,1.27,0.39455999999999997,promotor
non-promoter-544,1.1197,0.43440999999999996,promotor
non-promoter-545,1.0681,0.43240999999999996,promotor
non-promoter-546,1.3147,0.44212,promotor
non-promoter-547,0.7127000000000001,0.33125999999999994,promotor
non-promoter-548,0.9364,0.40491,promotor
non-promoter-549,1.0749,0.43468999999999997,promotor
non-promoter-550,1.2634,0.37453,promotor
non-promoter-551,1.2684,0.37876,promotor
non-promoter-552,1.3289000000000002,0.38266,promotor
non-promoter-553,1.25,0.41397999999999996,promotor
non-promoter-554,0.6871,0.36497000000000007,promotor
non-promoter-555,1.0721,0.41529,promotor
non-promoter-556,0.8829,0.41372999999999993,promotor
non-promoter-557,0.9934000000000001,0.34867,promotor
non-promoter-558,1.0042,0.41453,promotor
non-promoter-559,1.1164,0.43249,promotor
non-promoter-560,1.1831,0.42004,promotor
non-promoter-561,0.7687,0.39662000000000003,promotor
non-promoter-562,0.6856,0.41254,promotor
non-promoter-563,1.3132000000000001,0.40565,promotor
non-promoter-564,0.7336,0.43077,promotor
non-promoter-565,1.211,0.45525000000000004,promotor
